name,party,status,votes
DR. RAHUL VASUDEVBHAI VYAS,Independent,lost,2752
PARMAR MAYURSINH ARVINDSINH,Independent,lost,2208
NILKANTHKUMAR MANSUKHLAL MISTRI,Independent,lost,1756
PARMAR HEMANTKUMAR ARVINDBHAI,Independent,lost,1411
TAPAN DASGUPTA,Socialist Unity Centre Of India (COMMUNIST),lost,1275
ATUL GAMECHI,Independent,lost,1084
PARTHIV VIJAYKUMAR DAVE,Right to Recall Party,lost,1057
NILESH JAGANNATH VASAIKAR,Independent,lost,858
DOSHI HARDIK BIPINBHAI,Satyawadi Rakshak Party,lost,657
VEENA DEVI,Lok Janshakti Party(Ram Vilas),won,567043
VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,lost,477409
VIKKY KUMAR,Independent,lost,34256
NOTA,None of the Above,,27460
SHAMBHU KUMAR SINGH,Bahujan Samaj Party,lost,21436
RAJ NARAYAN YADAV,Independent,lost,9616
PARAMHANS SINGH,Independent,lost,5317
HARI NARAYAN RAM,Viro Ke Vir Indian Party,lost,5100
RAMESHWAR MAHTO,Bhartiya Sarthak Party,lost,4150
KUMAR SHISHIR,Independent,lost,3907
MUHAMAD AVAS,Independent,lost,3758
ABHA RAY,Peoples Party of India (Democratic),lost,3274
NARESH RAM,Socialist Unity Centre Of India (COMMUNIST),lost,3009
VINOD KUMAR SHARMA,Jantantra Awaj Party,lost,2934
ANIKET RAJ,Rashtriya Samaj Paksha,lost,2025
BALENDRA TIWARY,Hindustan Janta Party Secular,lost,1366
SUNIL KUMAR,Janata Dal  (United),won,523422
DEEPAK YADAV,Rashtriya Janata Dal,lost,424747
NOTA,None of the Above,,30709
PRAVESH KUMAR MISHRA @ ANUP,Independent,lost,23225
DINESH AGRAWAL,Independent,lost,19810
DURGESH SINGH CHAUHAN,Bahujan Samaj Party,lost,18816
CHANDRESHWAR MISHRA,Independent,lost,13598
SHAFI MOHAMMAD MIYA,Aazad Samaj Party (Kanshi Ram),lost,13432
PARSHURAM SAH,Independent,lost,12150
NABA KUMAR SARANIA (HIRA BHAI),Gana Suraksha Party,lost,11423
SHAMBHU PRASAD,Independent,lost,10498
DHAVAL LAXMANBHAI  PATEL,Bharatiya Janata Party,won,764226
ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,lost,553522
NOTA,None of the Above,,18373
MANAKBHAI JATRUBHAI SHANKAR,Bahujan Samaj Party,lost,7499
RAMANBHAI KARSHANBHAI PATEL,Independent,lost,6745
JAYANTIBHAI KHANDUBHAI SHALUA,Viro Ke Vir Indian Party,lost,4774
CHIRAGKUMAR BHARATBHAI  PATEL,Independent,lost,3440
UMESHBHAI MAGANBHAI PATEL,Bahujan Republican  Socialist Party,lost,2832
NARENDRA MODI,Bharatiya Janata Party,won,612970
AJAY RAI,Indian National Congress,lost,460457
ATHER JAMAL LARI,Bahujan Samaj Party,lost,33766
NOTA,None of the Above,,8478
KOLISETTY SHIVA KUMAR,Yuga Thulasi Party,lost,5750
GAGAN PRAKASH YADAV,Apna Dal (Kamerawadi),lost,3634
DINESH KUMAR YADAV,Independent,lost,2917
SANJAY KUMAR TIWARI,Independent,lost,2171
DM KATHIR ANAND,Dravida Munnetra Kazhagam,won,568692
AC SHANMUGAM,Bharatiya Janata Party,lost,352990
DR S PASUPATHI,All India Anna Dravida Munnetra Kazhagam,lost,117682
D MAHESH ANAND,Naam Tamilar Katchi,lost,53284
NOTA,None of the Above,,8736
A NATARAJAN,Bharatiya Praja Aikyata Party,lost,4005
SHANMUGAVELU,Independent,lost,3576
MANSOOR ALI KHAN,Independent,lost,2804
SYED ALI D,Independent,lost,2124
P SHANMUGAM,Independent,lost,2039
NAGARAJ P,Independent,lost,1959
K JAYAMANI,Bahujan Samaj Party,lost,1702
D SARAVANAN,Independent,lost,1497
MP SHANMUGAM,Independent,lost,868
N SIVAKUMAR,Independent,lost,701
AFROSE,Independent,lost,673
A BEEMARAO MILINTHAR,United Republican Party of India,lost,670
DR S JAYARAJ,Independent,lost,661
K SHANMUGAM,Independent,lost,616
V KALIAPERUMAL,Ganasangam Party of India,lost,600
G SHANMUGAM,Independent,lost,572
PP JAYAPRAKASH,Independent,lost,461
PASUPATHI,Independent,lost,415
S WILLIAM SATHYARAJ,Tamil Manila Murpokku Dravida Kazhagam,lost,377
