name,party,status,votes
SHIVAM YADAV,Global Republican Party,lost,415
BHOLA SINGH,Independent,lost,411
DARSHAN SINGH DABA,Nationalist Justice Party,lost,390
KULDEEP KUMAR SHARMA,Independent,lost,383
VISHAL KUMAR ARORA,Independent,lost,344
KARNAIL SINGH,Independent,lost,340
RAJINDER GHAI,Independent,lost,284
PRIYA SAROJ,Samajwadi Party,won,451292
BHOLANATH (B.P. SAROJ),Bharatiya Janata Party,lost,415442
KRIPA SHANKAR SAROJ,Bahujan Samaj Party,lost,157291
NOTA,None of the Above,,9303
SHRAVAN KUMAR,Independent,lost,5807
URMILA,Samaj Parivartan Party,lost,5303
SUBAS,Independent,lost,3693
RANG BAHADUR,Independent,lost,2718
BRIJESH KUMAR SAROJ,Prabuddhwadi Bahujan Morcha,lost,2365
RAJENDRA PRASAD,Rashtra Uday Party,lost,2067
RAM MILAN,Sardar Patel Siddhant Party,lost,1716
KAMLESH,Azad Samaj Party,lost,1702
BRIJESH KUMAR,Prithviraj Janshakti Party,lost,1364
BALASHOWRY VALLABHANENI,Janasena Party,won,724439
SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,lost,501260
GOLLU KRISHNA,Indian National Congress,lost,31825
NOTA,None of the Above,,12126
BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party,lost,11141
DEVAMANI DEVARAPALLI,Bahujan Samaj Party,lost,10028
KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc,lost,5254
VALLABHANENI NAGA PAVAN KUMAR,Independent,lost,5220
MARADANI K R SWAMY,Jai Maha Bharath Party,lost,2214
GANDHI  DHANEKULA,Independent,lost,1991
PAMULA BALA SOWRYAMMA,Independent,lost,1582
ANUSHA YERUVA,Independent,lost,1235
GUDAVALLI VENKATA KEDARESWARA RAO,Independent,lost,1111
JOGI VEERANJANEYULU,Independent,lost,1022
DAMODARA RAO GUDAVALLI,Independent,lost,930
APPARAO ENNETI,Independent,lost,626
MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party – Sharadchandra Pawar,won,622213
RANJEETSINGH HINDURAO NAIK NIMBALKAR,Bharatiya Janata Party,lost,501376
ER. RAMCHANDRA MAYAPPA GHUTUKADE,New Rashtriya Samaj Party,lost,58421
BARASKAR RAMESH NAGNATH,Vanchit Bahujan  Aaghadi,lost,20604
JANKAR SWARUP DADA,Bahujan Samaj Party,lost,7094
HAKE LAXMAN SOPAN,Independent,lost,5134
SITARAM VITTHAL RANDIVE,Independent,lost,4986
DHANAJI SHRIPATI MASKE,Independent,lost,4433
BICHUKALE SANTOSH BALASAHEB,Republican Party of India (A),lost,4046
SAWANT RAHUL SHASHIKANT,Independent,lost,3909
NOTA,None of the Above,,3702
AWARE SIDDHESHWAR BHARAT,All India Forward Bloc,lost,3067
HANUMANT NARAYAN MANE,Independent,lost,2864
NANDU SAMBHAJI MORE,Independent,lost,2687
NAVANATH BIRA MADANE,Independent,lost,2435
GIRISH PRABHAKAR SHETE,Independent,lost,2383
ADV. JORE SACHIN BHASKAR,Independent,lost,2347
NANASAHEB RAMHARI YADAV,Independent,lost,2214
KIRAN TANAJI SATHE,Independent,lost,2175
BHAUSAHEB SUKHADEV LIGADE,Independent,lost,2052
ER. BALIRAM SUKHADEV MORE,Independent,lost,1953
KHARAT SANDIP JANARADHAN,Independent,lost,1755
NARAYAN TATOBA KALEL,Independent,lost,1560
GOPAL YESHVANT JADHAV,Bharatheeya Jawan Kisan Party,lost,1289
KASHINATH KISAN DEOKATE,Independent,lost,1279
SATYAWAN VIJAY OMBASE,Swarajya Sena (Maharashtra),lost,1260
SITAPURE VINOD DILIP,Independent,lost,1191
ASHOK DNYANDEV WAGHMODE,Independent,lost,989
ANIL BHAGAVAN SHEDAGE,Independent,lost,982
AMOL MADHUKAR KARADE,Independent,lost,903
RASHID ISMAIL SHAIKH,Independent,lost,843
MORE ROHIT RAMKRUSHNA,Independent,lost,671
SARADE GANESH NAVNATH,Independent,lost,601
DINESH CHANDRA YADAV,Janata Dal  (United),won,640649
DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,lost,466115
NOTA,None of the Above,,32625
SURESHWAR PODDAR,Aadarsh Mithila Party,lost,15434
MD ARSHAD HUSSAIN,Bahujan Samaj Party,lost,12991
JAWAHAR LAL JAISWAL,Socialist Unity Centre Of India (COMMUNIST),lost,11322
UCHESHWAR PANDIT,Samajhdar Party,lost,11149
PRO KAMESHWAR YADAV,Bharatiya Jan Kranti Dal (Democratic),lost,10674
AJABLAL MEHTA,Yuva Krantikari Party,lost,8736
ASHOK KUMAR YADAV,Bharatiya Janata Party,won,553428
MD ALI ASHRAF FATMI,Rashtriya Janata Dal,lost,401483
NOTA,None of the Above,,20719
SHIV BODHAN SAHU,Independent,lost,13370
BIKASH KUMAR,Bahujan Samaj Party,lost,7223
PRIYE RANJAN,Independent,lost,7050
VAIDYANATH YADAV,Peoples Party of India (Democratic),lost,4983
SARFARAJ ALAM,Akhil Bhartiya Parivar Party,lost,4623
MD WAQUAR SIDDIQUI,All India Majlis-E-Ittehadul Muslimeen,lost,4498
MOHAN SHARMA,Rashtriya Jansambhavna Party,lost,4464
ABU BAKAR RAHMANI,Country Citizen Party,lost,2097
UDAY MANDAL,Samata Party,lost,2007
KUL BHUSHAN PRASAD,Loktantrik Lok Rajyam Party,lost,1783
VENKATESAN S,Communist Party of India  (Marxist),won,430323
RAAMA SREENIVASAN,Bharatiya Janata Party,lost,220914
SARAVANAN P,All India Anna Dravida Munnetra Kazhagam,lost,204804
SATHYADEVI T,Naam Tamilar Katchi,lost,92879
NOTA,None of the Above,,11174
VELMURUGAN A,Bharatiya Praja Aikyata Party,lost,6009
RAMAR PANDI T,Bahujan Samaj Party,lost,2506
VENKATESAN M,Independent,lost,2505
SHANMUGA SUNDARAM A,United Republican Party of India,lost,2349
PERIYASAMY K,Independent,lost,1968
PANDIYAN S,Bahujan Dravida Party,lost,1562
BOOMINATHAN C,Independent,lost,1213
MUTHUPANDI S,Independent,lost,1207
RAMANATHAN S,Independent,lost,1194
VENKATESH S,Independent,lost,1046
SANKARAPANDI M.P.,Independent,lost,1029
GOPISON M.M.,Independent,lost,946
SARAVANAN K.K.,Independent,lost,844
GOPALAKRISHNAN S,Independent,lost,746
CHANDRASEKAR N,Independent,lost,711
PANDIYAN P,Socialist Unity Centre Of India (COMMUNIST),lost,578
AVADAINATHAN V,Independent,lost,462
BALRAM NAIK PORIKA,Indian National Congress,won,612774
KAVITHA MALOTH,Bharat Rashtra Samithi,lost,263609
PROFESSOR. AZMEERA SEETARAM NAIK,Bharatiya Janata Party,lost,110444
ARUN KUMAR MYPATHI,All India Forward Bloc,lost,39136
RAGHU VARMA JATOTHU,Alliance of Democratic Reforms Party,lost,11893
DURGA PALVANCHA,Independent,lost,10119
KONETI SUJATHA,Bahujan Samaj Party,lost,8093
NOTA,None of the Above,,6591
ANIL KUMAR BODA,Independent,lost,6431
CHANDA LINGAIAH,Independent,lost,5100
MOKALLA MURALIKRISHNA,Independent,lost,4062
SOYAM KANNA RAJU,Gondvana Gantantra Party,lost,3755
BANOTH PREM NAYAK [BPN],Independent,lost,3712
PAYAM.SINGARAJU,Independent,lost,3196
PADIGA YARRAIAH,Independent,lost,2887
DV NAIK,Independent,lost,2781
GUGULOTH SHEKAR NAIK,Independent,lost,2542
RAVVA. BHADRAMMA,Dharma Samaj Party,lost,2244
SODE VENKATESWARLU,Gondwana Dandkaranya Party,lost,2172
BANOTH LINGYA NAIK,Independent,lost,1715
BODA PRASHANTH,Independent,lost,1590
BURKA KRISHNAVENI,Socialist Party (India),lost,1448
BANOTHU LINGANNA,Blue India Party,lost,1367
VANKUDOTHU RAVI KUMAR (RAVANNA),Telangana Jaghir Party,lost,1125
"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,won,529533
AAKASH KUMAR SINGH,Indian National Congress,lost,426882
NOTA,None of the Above,,21687
TRIBHUWAN RAM,Peoples Party of India (Democratic),lost,14838
MADHUSUDAN SINGH,Bahujan Samaj Party,lost,13402
AKHILESHWAR PRASAD SINGH,All India Majlis-E-Ittehadul Muslimeen,lost,7767
PANKAJ CHAUDHARY,Bharatiya Janata Party,won,591310
VIRENDRA CHAUDHARY,Indian National Congress,lost,555859
MO MAUSME ALAM,Bahujan Samaj Party,lost,32955
NOTA,None of the Above,,9745
BRIJESH,Abhay Samaj Party,lost,8583
CHHEDI MAJDOOR,Independent,lost,3834
RAMPRIT,Independent,lost,3029
SUNIL,Independent,lost,2718
VINOD KUMAR PATEL,Sardar Patel Siddhant Party,lost,2418
ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,won,703659
TAMRADHWAJ SAHU,Indian National Congress,lost,558203
PROFESSOR SURESH SAHU,Independent,lost,11888
BASANT SINHA,Bahujan Samaj Party,lost,8860
REKHRAM BAGH,Independent,lost,7878
GANESH RAM DHRUW,Hamar Raj Party,lost,6651
SANTOSH DARCHAND BANJARE,Independent,lost,6054
NOTA,None of the Above,,3840
MUKESH KUMAR AGRAWAL,Independent,lost,3691
SUKHNANDAN  DESHKAR,Independent,lost,3555
NITESH KUMAR RATRE,Sunder Samaj Party,lost,2373
DR. VIRENDRA CHAUDHRI,Bhartiya Shakti Chetna Party,lost,2099
KALIYA PRASAD SETH,Independent,lost,1531
MAHESH SWARN,Independent,lost,1486
CHAMPA LAL PATEL GURUJI DHARTI PAKD,Right to Recall Party,lost,1379
FARID QURAISHI,Gondvana Gantantra Party,lost,1077
ISHWAR MARKANDE,Independent,lost,957
NARAD PRASAD NISHAD,Shakti Sena (Bharat Desh),lost,899
ARUNA. D. K,Bharatiya Janata Party,won,510747
CHALLA VAMSHI CHAND REDDY,Indian National Congress,lost,506247
MANNE SRINIVAS REDDY,Bharat Rashtra Samithi,lost,154792
VENKATESWARLU TALLADA,Alliance of Democratic Reforms Party,lost,6379
KINNERA YADAGIRI,Independent,lost,4470
NOTA,None of the Above,,4330
KURA VENKATAIAH,Independent,lost,4249
HARINDER REDDY MALLELA,Independent,lost,3815
KARUKONDA SRINIVAS YADAV,Independent,lost,3451
HANUMESH,Independent,lost,3225
MOHD ALAUDDIN,Bahujan Samaj Party,lost,3077
GOVINDAMMA,Independent,lost,2748
GANTLAVELLI RAKESH,Dharma Samaj Party,lost,2618
UMASHANKAR NEMMIKANTI,Independent,lost,2214
DINESH,Independent,lost,1727
ANDHARI ANJAIAH,Independent,lost,1675
SANGEPAGA SAROJANAMMA,Independent,lost,1565
B. RAVINDER,Social Justice Party of India,lost,1085
K. UDAY TEJ NAIK,Independent,lost,1027
MARLA ANJANEYULU,Jai Swaraj Party,lost,1020
NADIMINTI SRINIVASULU,Independent,lost,985
M. NAVEEN REDDY,Independent,lost,952
VIJAYA,Independent,lost,596
ANEESUR RAHMAN,Bahujan Mukti Party,lost,503
A. SRINIVASULU,Independent,lost,438
KADINTI SHANKAR REDDY,Viduthalai Chiruthaigal Katchi,lost,432
NARESH REDDY,Telangana Jaghir Party,lost,420
VENKATA RAMANA,Independent,lost,353
BANDA SATYANARAYANA,Independent,lost,264
PULLANGARI SANDEEP KUMAR REDDY,Independent,lost,262
VISHNU VARDHAN REDDY THAPALAKINDHI,Independent,lost,229
MUDAVATH BALARAJU NAIK,Independent,lost,183
HARIBHAI PATEL,Bharatiya Janata Party,won,686406
RAMJI THAKOR,Indian National Congress,lost,358360
NOTA,None of the Above,,11626
AMRUTLAL MAKWANA,Bahujan Samaj Party,lost,9874
CHAUHAN PRAKASHKUMAR TRIBHOVANDAS,Akhila Vijaya Party,lost,3882
PATEL MANUBHAI SHANKARLAL,Independent,lost,3672
ZALA VIKRAMSINH BANESINH,Rashtra Nirman Party,lost,3007
DIMPLE YADAV,Samajwadi Party,won,598526
JAYVEER SINGH,Bharatiya Janata Party,lost,376887
SHIV PRASAD YADAV,Bahujan Samaj Party,lost,66814
NOTA,None of the Above,,4582
SURESH CHANDRA,Independent,lost,2374
NAND RAM BAGRI,Voters Party  International,lost,1769
MANJU PAL,Bhartiya Shakti Chetna Party,lost,1171
PRAMOD KUMAR,Independent,lost,1006
SUNIL KUMAR MISHRA,Sarva Samaj Janata Party,lost,882
E.T.  MOHAMMED BASHEER,Indian Union Muslim League,won,644006
V. VASEEF,Communist Party of India  (Marxist),lost,343888
DR. ABDUL SALAM,Bharatiya Janata Party,lost,85361
NOTA,None of the Above,,6766
T. KRISHNAN,Bahujan Samaj Party,lost,1417
P.C. NARAYANAN,Bahujan Dravida Party,lost,1309
NASEEF ALI MULLAPPALLI,Independent,lost,1168
ABDULSALAM S/O MUHAMMED HAJI,Independent,lost,783
THRISSUR NAZEER,Independent,lost,484
ISHA KHAN CHOUDHURY,Indian National Congress,won,572395
SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party,lost,444027
SHAHNAWAZ ALI RAIHAN,All India Trinamool Congress,lost,301026
PURNOCHANDRA MANDAL,Independent,lost,8383
AHMED HEDATUL HASAN,Independent,lost,5736
MD. JAMAL SAIKH,Independent,lost,5386
BIKASH RABIDAS,Bahujan Samaj Party,lost,5065
BIJOY KUMAR SARKAR,Independent,lost,4776
SUSMITA DEY KARJEE,Bhartiya Lokmat Rashtrwadi Party,lost,3535
AMAL KUMAR RABIDAS,Independent,lost,3271
KAVIR MADAN DAS,Ambedkarite Party of India,lost,3140
NOTA,None of the Above,,2797
ASIM MANDAL,Jan Sangh Party,lost,2788
MD SHAHNAWAJ RAHMATULLAH,Social Democratic Party Of India,lost,2323
JALALUDDIN SARKAR,Bharatiya Nyay-Adhikar Raksha Party,lost,2075
ANGSHUDHAR MANDAL,Socialist Unity Centre Of India (COMMUNIST),lost,1189
MD NUR ISLAM SEKH,Rashtriya Secular Majlis Party,lost,1136
MD MONIRUL HASAN,Jamat-E-Seratul Mustakim,lost,741
KHAGEN MURMU,Bharatiya Janata Party,won,527023
PRASUN BANERJEE,All India Trinamool Congress,lost,449315
ALAM MOSTAQUE,Indian National Congress,lost,384764
JATISH KISKU,Independent,lost,8683
MONATAN HEMBRAM,Independent,lost,7933
NOTA,None of the Above,,7288
SWAPAN MAHATO,Independent,lost,7237
SANATAN RISHI,Bahujan Samaj Party,lost,5632
JOSEPH KISKU,Ambedkarite Party of India,lost,4637
MONJU HEMBROM,Independent,lost,3538
MD FARUQUE HOSSAIN,Independent,lost,3375
SOMNATH DAS,Bharatiya Nyay-Adhikar Raksha Party,lost,3164
SUBHASH BARMAN,Kamatapur People’s Party (United),lost,2019
KALICHARAN ROY,Socialist Unity Centre Of India (COMMUNIST),lost,1293
MD SOHEL,All India Secular Front,lost,1092
NARESH PAL,Jan Sangh Party,lost,596
EATALA RAJENDER,Bharatiya Janata Party,won,991042
PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress,lost,599567
RAGIDI LAXMA REDDY,Bharat Rashtra Samithi,lost,300486
NOTA,None of the Above,,13366
THALLADA VENKATESWARLU,Independent,lost,6800
ANITHA REDDY SHEELAM,Bahujan Samaj Party,lost,4779
VAISHNAVI PRASAD,Independent,lost,1912
PAREE (PESARIKAYALA PAREEKSHITH REDDY),Independent,lost,1835
DONTHULA BIKSHAPATHI,Independent,lost,1821
BHARATHA SUDARSHAN,Independent,lost,1643
APPARAO KONDA,Rashtra Samanya Praja Party,lost,1162
MOUTAM SAMPATH,Independent,lost,1137
RAJESH MISHRA,Independent,lost,1110
BANJAPALLY SUDHA RANI,Independent,lost,1069
CHIRIPI REDDY RAMESH,Independent,lost,987
PEDDAPALLI SANDEEP,Bharathiya YuvaKula Dalam,lost,933
BOIN DURGA PRASAD YADAV,Dharma Samaj Party,lost,789
CHAMAKURA RAJAIAH ALIAS PIDIKILI RAJU,Social Justice Party of India,lost,723
NARRA SUKHENDER REDDY,Vidhyarthula Rajakiya Party,lost,694
KANTE SAYANNA,Independent,lost,539
JUVVA PHANI KUMAR CHOWDARY,Jai Bharat National Party,lost,508
YADISHWAR NAKKA,Telangana Republican Party,lost,494
R. SUBENDER SINGH,Independent,lost,447
KANGNA RANAUT,Bharatiya Janata Party,won,537022
VIKRAMADITYA SINGH,Indian National Congress,lost,462267
NOTA,None of the Above,,5645
DR. PRAKASH CHAND BHARDWAJ,Bahujan Samaj Party,lost,4393
NARENDER KUMAR,Rashtriya Devbhumi Party,lost,2447
RAKHEE GUPTA,Independent,lost,1051
SUBHASH MOHAN SNEHI,Independent,lost,974
VINAY KUMAR,Akhil Bhartiya Parivar Party,lost,690
MAHESH  SAINI,Himachal Janta Party,lost,654
DINESH KUMAR BHATI,Independent,lost,381
ASHUTOSH MAHANT,Independent,lost,286
FAGGAN SINGH KULASTE,Bharatiya Janata Party,won,751375
OMKAR SINGH MARKAM,Indian National Congress,lost,647529
MAHESH KUMAR WATTEE,Gondvana Gantantra Party,lost,37797
NOTA,None of the Above,,18921
INDAR SINGH UIKEY,Bahujan Samaj Party,lost,16617
CHANDRA SINGH KUSHRAM,Bhartiya Shakti Chetna Party,lost,15558
SITAR MARKAM,Independent,lost,10375
RAKESH SINGH THAKUR,Independent,lost,10346
DR. BHAW SINGH TEKAM,Independent,lost,6401
CHARAN SINGH DHURWEY,Bharat Adivasi Party,lost,4287
ADVOCATE-DEV SINGH KUMRE,Independent,lost,4217
GHUR SINGH SALLAM,Independent,lost,3971
KALIYA BAI KAKODIA,Independent,lost,3001
ASHOK SARAIYA,Independent,lost,2727
RAMKUMAR INWATI [ADVOCATE],Smart Indians Party,lost,2510
SUDHEER GUPTA,Bharatiya Janata Party,won,945761
DILIP SINGH GURJAR,Indian National Congress,lost,445106
NOTA,None of the Above,,11662
KANHAIYALAL MALVIYA,Bahujan Samaj Party,lost,10512
ISMAIL KHAN MAIV,Independent,lost,8826
SUSHIL,Independent,lost,3439
SAEED AHAMAD,Independent,lost,3167
MURALIDHAR,Independent,lost,2696
VIJAY RANN,Independent,lost,2323
H.D. KUMARASWAMY,Janata Dal  (Secular),won,851881
VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,lost,567261
CHANDAN GOWDA. K,Independent,lost,12394
NOTA,None of the Above,,7736
SHIVASHANKARA. S,Bahujan Samaj Party,lost,6964
RAMAIAH. D,Independent,lost,3810
RANJITHA. N,Independent,lost,2909
CHANDRASHEKARA. K.R (CHANDRU KEELARA),Karnataka Rashtra Samithi,lost,1476
BUDAYYA. B.P,Karunaadu Party,lost,1370
LOKESHA. S (AARYA LOKESH),Uttama Prajaakeeya Party,lost,1163
BEERESH. C.T (SAINIKA BEERESH),Independent,lost,931
N.BASAVARAJU,Independent,lost,843
H.D. REVANNA,Purvanchal Mahapanchayat,lost,590
CHANNAMAYIGOWDA,Independent,lost,497
S.ARVIND,Independent,lost,442
HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,won,510064
MUKESH DHANGAR,Indian National Congress,lost,216657
SURESH SINGH,Bahujan Samaj Party,lost,188417
BHANU PRATAP SINGH,Independent,lost,15665
NOTA,None of the Above,,4563
RAKESH KUMAR,Independent,lost,4494
JAGDISH PRASAD KAUSHIK ADVOCATE,Rashtriya Samta Vikas Party,lost,3575
RAVI VERMA,Independent,lost,2724
SHIKHA SHARMA,Independent,lost,2251
KAMAL KANT SHARMA,Independent,lost,1503
YOGESH KUMAR TALAN,Independent,lost,1493
MONI FALHARI BAPU,Independent,lost,1326
KSHETRA PAL SINGH,Independent,lost,1211
DR. RASHMI YADAV,Independent,lost,1189
PRAVESHANAND PURI,Independent,lost,1085
SURESH CHANDRA VAGHEL,Rashtriya Shoshit Samaj Party,lost,829
BAPI HALDAR,All India Trinamool Congress,won,755731
ASHOK PURKAIT,Bharatiya Janata Party,lost,554674
AJAY KUMAR DAS,All India Secular Front,lost,87606
DR SARAT CHANDRA HALDER,Communist Party of India  (Marxist),lost,61100
BAPI HALDER,Independent,lost,8934
NOTA,None of the Above,,8631
BAPI HALDAR,Independent,lost,5626
BISWANATH SARDAR,Socialist Unity Centre Of India (COMMUNIST),lost,4534
PANKAJ KUMAR HALDER,Bahujan Samaj Party,lost,4257
ASHOKE SARDAR,Independent,lost,1501
ASHOKE PUROKAIT,Independent,lost,1501
BAPPA DAS,Party for Democratic Socialism,lost,1209
RUDRA PRASAD MANDAL,Mulnibasi Party of India,lost,720
SUDHA R,Indian National Congress,won,518459
BABU P,All India Anna Dravida Munnetra Kazhagam,lost,247276
STALIN M K,Pattali Makkal Katchi,lost,166437
KALIYAMMAL P,Naam Tamilar Katchi,lost,127642
NOTA,None of the Above,,8695
KARTHICK A,Samaniya Makkal Nala Katchi,lost,3891
ILANCHEZHIAN T,Bahujan Samaj Party,lost,2898
BABU S,Independent,lost,1838
MANIMARAN T,Independent,lost,1711
NAGARAJAN K,Independent,lost,1347
SILAMBARASAN D,Independent,lost,1256
JAFARULLAH KHAN F,Independent,lost,1236
TIMOTHY T,Independent,lost,1175
PANDIYARAJAN S,Independent,lost,1174
VEDARETHINAM S,Anna MGR Dravida Makkal Kalgam,lost,782
NITHIYANANTHAM S,Naadaalum Makkal Katchi,lost,739
SRINIVASAN V,Independent,lost,617
DHAKSHINAMOORTHY M,Independent,lost,535
RICHARD VANLALHMANGAIHA,Zoram People’s Movement,won,208552
K VANLALVENA,Mizo National Front,lost,140264
LALBIAKZAMA,Indian National Congress,lost,98595
VANLALHMUAKA,Bharatiya Janata Party,lost,33533
LALHRIATRENGA CHHANGTE,Independent,lost,4706
RITA MALSAWMI,Mizoram People's Conference,lost,3793
NOTA,None of the Above,,1893
SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,won,515477
NEETU SATYAPAL SINGH SIKARWAR,Indian National Congress,lost,462947
RAMESH GARG,Bahujan Samaj Party,lost,179669
NEERAJ CHANDSORIYA,Aazad Samaj Party (Kanshi Ram),lost,7544
NOTA,None of the Above,,4914
RAJENDRA PRASAD KUSHWAH,Independent,lost,2402
ER. SURAJ KUSHWAH,Independent,lost,2285
RAMNIWASH,Independent,lost,1973
RAM SUNDER SHARMA,Independent,lost,1767
RAMSEVAK SAKHWAR,Independent,lost,1632
HARIKANTH,Independent,lost,1623
RAJKUMARI,Independent,lost,1441
ANOOP NAGAR,Independent,lost,1317
RAJENDRA SINGH GURJER,Independent,lost,1210
PIYUSH BRAJESH RAJORIYA,Independent,lost,575
PRABHU JATAV,Independent,lost,555
ANIL BALUNI,Bharatiya Janata Party,won,432159
GANESH GODIYAL,Indian National Congress,lost,268656
NOTA,None of the Above,,11375
SONU KUMAR,Independent,lost,4822
ASHUTOSH SINGH,Uttarakhand Kranti Dal,lost,4561
DHEER SINGH,Bahujan Samaj Party,lost,4122
MUKESH PRAKASH,Independent,lost,3079
DEEPENDRA SINGH NEGI,Independent,lost,1640
SURESHI DEVI,Peoples Party of India (Democratic),lost,1512
ARJUN SINGH,Akhil Bhartiya Parivar Party,lost,1378
RESHMA PANWAR,Socialist Unity Centre Of India (COMMUNIST),lost,1293
DR MUKESH PANT,Sainik Samaj Party,lost,1179
VINOD KUMAR SHARMA,Uttarakhand Samanta Party,lost,884
SHYAMLAL,Bahujan Mukti Party,lost,771
DR. MAHESH SHARMA,Bharatiya Janata Party,won,857829
DR. MAHENDRA SINGH NAGAR,Samajwadi Party,lost,298357
RAJENDRA SINGH SOLANKI,Bahujan Samaj Party,lost,251615
NOTA,None of the Above,,10324
BHIM PRAKASH JIGYASU,Viro Ke Vir Indian Party,lost,3875
MOHD. MUMTAJ AALAM,Independent,lost,2821
SHIVAM ASHUTOSH,Independent,lost,2641
MANISH KUMAR DWIVEDI,Akhil Bhartiya Parivar Party,lost,1772
KISHOR SINGH,National Party,lost,1767
MAHKAR SINGH,Independent,lost,1124
KM. SHALU,Loktantrik Janshakti Party,lost,1050
PARAG KAUSHIK,Independent,lost,946
NARESH NAUTIYAL,Bhartiya Rashtriya Jansatta,lost,941
RAN SINGH DUDEE,Super Power India Party,lost,908
RAJEEV MISHRA,Jai Hind National Party,lost,657
NARAVEDASHVAR,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),lost,617
JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),won,494960
KUMAR SARVJEET,Rashtriya Janata Dal,lost,393148
NOTA,None of the Above,,17288
SUSHMA KUMARI,Bahujan Samaj Party,lost,12376
DEVENDRA PRATAP,Independent,lost,9211
DHEERENDRA PRASAD,Loktantrik Samajwadi Party,lost,5629
GIRIDHAR SAPERA,The National Road Map Party of India,lost,4727
RANU KUMAR CHAUDHARY,Independent,lost,4505
RANJAN KUMAR,Independent,lost,4234
AYUSH KUMAR,Independent,lost,4103
SURENDRA MANJHI,Rashtriya Jansambhavna Party,lost,3035
AMRESH KUMAR,Independent,lost,2821
ASHOK KUMAR PASWAN,Independent,lost,2701
ARUN KUMAR,Independent,lost,2554
SHEO SHANKAR,Bhartiya Lok Chetna Party,lost,2384
ADHIKARI DEEPAK (DEV),All India Trinamool Congress,won,837990
DR. HIRANMOY CHATTOPADHYAYA,Bharatiya Janata Party,lost,655122
TAPAN GANGULI,Communist Party of India,lost,74908
NOTA,None of the Above,,12966
SOUMEN MADRAJI,Bahujan Samaj Party,lost,7941
GOPAL MONDAL,Independent,lost,4244
DINESH MAIKAP,Socialist Unity Centre Of India (COMMUNIST),lost,4148
SAHEB CHOWDHURY,Independent,lost,3237
ATUL GARG,Bharatiya Janata Party,won,854170
DOLLY SHARMA,Indian National Congress,lost,517205
NAND KISHOR PUNDIR,Bahujan Samaj Party,lost,79525
NOTA,None of the Above,,8211
RAVI KUMAR PANCHAL,Independent,lost,1966
ANAND KUMAR,Rashtra Nirman Party,lost,1178
NATTHUSINGH CHAUDHARY,Independent,lost,1162
AURANGJEB,Independent,lost,1120
NAMAHA,Samaj Vikas Kranti Party,lost,1080
AVDESH KUMAR,Independent,lost,1043
POOJA SAXENA,Right to Recall Party,lost,878
KAVITA,Independent,lost,775
ANSUL GUPTA,Rashtriya Jan Karmath Party,lost,764
DHIRENDRA SINGH BHADAURIYA,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),lost,700
ABHISHEK PUNDIR,Independent,lost,653
AFZAL ANSARI,Samajwadi Party,won,539912
PARS NATH RAI,Bharatiya Janata Party,lost,415051
UMESH KUMAR SINGH,Bahujan Samaj Party,lost,164964
NOTA,None of the Above,,9065
AJAY,Vishwa Kalyan Rashtriya Manav Samaj Party,lost,5074
NUSRAT ANSARI,Independent,lost,4616
ADITYA SHRIVASTAV,Yuga Thulasi Party,lost,3316
SATYDEV YADAV,Independent,lost,3172
GYANCHANDRA BIND,Independent,lost,3135
RAMPRAVESH,Moulik Adhikar Party,lost,2833
DHANANJAY KUMAR TIWARI,Bhartiya Lokvani Party,lost,1956
RAJEEV RAI,Samajwadi Party,won,503131
DR. ARVIND RAJBHAR,Suheldev Bharatiya Samaj Party,lost,340188
BALKRISHNA CHAUHAN,Bahujan Samaj Party,lost,209404
LILAWATI RAJBHAR,Moolniwasi Samaj Party,lost,47527
PAWAN KUMAR CHAUHAN,Independent,lost,7077
VINOD KUMAR RAI,Communist Party of India,lost,6993
ROLI GUPTA,Akhil Bhartiya Hamara Samaj Party,lost,4225
NOTA,None of the Above,,3518
VIRENDRA,Rashtriya Jantantrik Bharat Vikas Party,lost,2347
VIJAY,Socialist Unity Centre Of India (COMMUNIST),lost,2241
AWADHESH KUMAR CHAUHAN,Janta Kranti Party (Rashtravadi),lost,2239
SATISH CHAND PRAJAPATI FAUJI,Samajhdar Party,lost,1921
MADAN RAJBHAR,Mang Samaj Party,lost,1905
SAUDAGER,Independent,lost,1892
RAJENDRA RAM,Independent,lost,1649
YAKUB ANSARI,Peace Party,lost,1573
PREM CHAND,Pragatisheel Manav Samaj Party,lost,1561
SANTOSH KUMAR GUPTA,Janlok Vikas Party,lost,1473
